mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.275559616088867,0.8882223592772871,0.03749237060546875,0.0046961541237476884,10,5,1,20,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}",-0.11349976554046086,-0.11343139538268608,-0.11209190874505892,-0.11280921248923842,-0.11487102747121877,-0.1133406619257326,0.0009184103911687988,7,-0.05604203804757431,-0.05581043622565721,-0.0555322875792712,-0.055757374670765636,-0.054607260009579404,-0.05554987930656955,0.0004983984487380043
50.43878808021545,1.3677253359962473,0.3388401985168457,0.02114250641465329,100,5,1,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 30}",-0.10861773499665335,-0.10833217780828744,-0.10650349935084855,-0.10694790828718731,-0.11006055863544664,-0.10809237581568468,0.0012681944031563556,5,-0.04645785993864027,-0.046548107955968886,-0.046265033319453926,-0.0465186247418079,-0.04621213777574764,-0.046400352746323724,0.00013628144884653495
110.66579866409302,0.5313560071327252,0.5829928398132325,0.016497223997550877,200,2,1,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",-0.10812087833756519,-0.10766782944979478,-0.10623902862666991,-0.10655347216752321,-0.10969955949299033,-0.10765615361490868,0.0012341606526093708,3,-0.04588253785347436,-0.04594643534361312,-0.046067058867372224,-0.045801468060932285,-0.04568446122828426,-0.04587639227073525,0.00012942079708410517
50.49648094177246,1.7410737947371524,0.37188520431518557,0.038173784496233924,100,2,2,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30}",-0.10828047802548438,-0.10778130545584821,-0.10603285350162787,-0.10647630937393791,-0.10950355277280094,-0.10761489982593986,0.0012519547848640713,2,-0.04754443324880983,-0.04774672311410532,-0.04740584067123575,-0.047667937740474085,-0.04739687672377016,-0.04755236229967903,0.00013916970249626292
6.1121467590332035,0.6294973851745734,0.050382041931152345,0.01779023378330444,10,2,1,20,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",-0.11296415248260484,-0.11292295773960555,-0.11132866771384206,-0.11255852514300667,-0.1150417384036709,-0.112963208296546,0.0011964447146701495,6,-0.050740274175030964,-0.05048200382518195,-0.05029337825395813,-0.05032687798446251,-0.049359852888482006,-0.05024047742542311,0.0004677381579524571
58.902574157714845,1.8074133048155174,0.46795024871826174,0.1892861356654551,100,2,1,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30}",-0.10800423048596475,-0.10747044334146469,-0.10594418652059542,-0.10619743050730109,-0.10931888049028522,-0.10738703426912224,0.0012342515789921739,1,-0.039877621358642985,-0.04000700158832872,-0.03971174681847336,-0.03988484021749333,-0.03968165210965148,-0.039832572418517974,0.00012046794623590136
2.51913161277771,0.10439295701635165,0.02499837875366211,0.0073553765901682765,10,2,1,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10}",-0.11930633507306398,-0.11836250656467524,-0.11826941914779816,-0.11736740280709154,-0.12018397732693618,-0.11869792818391303,0.0009638388281550341,9,-0.10460785913188436,-0.10459792904034264,-0.10460446836803965,-0.10505512998291884,-0.10451987711574742,-0.10467705272778657,0.00019181417297827944
29.36780138015747,2.3186084465699506,0.31961870193481445,0.11667461385971868,100,2,2,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10}",-0.1179526239754978,-0.1167936403501004,-0.11645842818910503,-0.11588557903358293,-0.11881483481736671,-0.11718102127313057,0.0010597256973616644,8,-0.10315952486427069,-0.1034716075742134,-0.10358795911273112,-0.1035790338769072,-0.1034508092470422,-0.1034497869350329,0.00015525822220609597
5.284567546844483,0.6525893768242904,0.06414036750793457,0.024974096082741776,100,5,1,2,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 2}",-0.13558613942587294,-0.1340232073204117,-0.13590990575373307,-0.1330714024608773,-0.13461546411295888,-0.13464122381477078,0.0010343467897210234,10,-0.13362574967723218,-0.13447033688321902,-0.1346694631459234,-0.13477676335070357,-0.13431316822987555,-0.13437109625739074,0.0004055451820722818
49.041503477096555,2.814105630831005,0.22072887420654297,0.017724953426465056,100,2,1,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",-0.10862593761755672,-0.10816457069633917,-0.10651432488018087,-0.1068646211705461,-0.10990861212148348,-0.10801561329722127,0.001229372068839285,4,-0.04619886207997899,-0.04621162680343553,-0.04620398708017849,-0.045996827610750315,-0.045981257950932934,-0.046118512305055245,0.00010590397147878364
